entrezgene	ensembl	symbol	abagen symbol	pass_all	num_pass	correlation	seed	score
94107	ENSG00000187713	TMEM203	TMEM203	1.0	5.0	0.597190303569452	51.0	0.1298239790368374
374882	ENSG00000105518	TMEM205	TMEM205	1.0	3.0	0.6559997138466741	33.0	0.08556518006695749
29100	ENSG00000168701	TMEM208	TMEM208	1.0	5.0	0.5366163913208439	58.0	0.11665573724366173
84928	ENSG00000146842	TMEM209	TMEM209	1.0	2.0	0.44949011056306626	32.0	0.03908609657070141
401498	ENSG00000188133	TMEM215	TMEM215	1.0	9.0	0.7023092634682389	31.0	0.2748166683136587
124446	ENSG00000149932	TMEM219	TMEM219	1.0	9.0	0.5467898227552198	1.0	0.21396123499117298
79064	ENSG00000168569	TMEM223	TMEM223	0.0	0.0	0.49468929988679333	31.0	0.0
730130	ENSG00000234224	TMEM229A	TMEM229A	1.0	1.0	0.35052990769843995	32.0	0.015240430769497389
161145	ENSG00000198133	TMEM229B	TMEM229B	1.0	1.0	0.38542255155675137	53.0	0.016757502241597885
29058	ENSG00000089063	TMEM230	TMEM230	1.0	6.0	0.3987636203794024	31.0	0.10402529227288758
387890	ENSG00000224982	TMEM233	TMEM233	1.0	6.0	0.6967029415096055	2.0	0.18174859343728839
65062	ENSG00000155755	TMEM237	TMEM237	1.0	1.0	0.402217002303056	32.0	0.017487695752306784
388564	ENSG00000233493	TMEM238	TMEM238	1.0	7.0	0.5880697830289358	33.0	0.1789777600522848
85019	ENSG00000134490	SLC35D4	TMEM241	1.0	2.0	0.6459803855269006	16.0	0.05617220743712179
729515	ENSG00000215712	TMEM242	TMEM242	1.0	7.0	0.778589531480543	52.0	0.23696203132016527
340393	ENSG00000261587	CATSPERQ	TMEM249	1.0	8.0	1.0	59.0	0.34782608695652173
84866	ENSG00000149582	TMEM25	TMEM25	1.0	3.0	0.6272319442969578	51.0	0.08181286229960319
90120	ENSG00000238227	TMEM250	TMEM250	1.0	1.0	0.6160588786158587	31.0	0.026785168635472117
26175	ENSG00000275947	LYSET	TMEM251	1.0	2.0	0.5572663590165226	31.0	0.048457944262306304
80195	ENSG00000133678	TMEM254	TMEM254	1.0	4.0	0.607247956152082	53.0	0.1056083402003621
55026	ENSG00000125355	TMEM255A	TMEM255A	1.0	8.0	0.5576825465571379	31.0	0.19397653793291753
348013	ENSG00000282107	TMEM255B	TMEM255B	1.0	2.0	0.3715084283759165	53.0	0.03230508072834057
254863	ENSG00000205544	TMEM256	TMEM256	1.0	8.0	0.49353977978002206	60.0	0.17166601035826853
54916	ENSG00000070269	TMEM260	TMEM260	1.0	1.0	0.4369540877895107	32.0	0.018998003816935248
90488	ENSG00000151135	TMEM263	TMEM263	1.0	12.0	0.6638434524005685	49.0	0.3463531056002966
123591	ENSG00000169758	TMEM266	TMEM266	1.0	4.0	0.6455976994374657	32.0	0.11227786077173316
203197	ENSG00000157693	TMEM268	TMEM268	1.0	1.0	0.5402325590068991	32.0	0.023488372130734746
79041	ENSG00000072954	TMEM38A	TMEM38A	0.0	0.0	0.5125949931775622	32.0	0.0
55151	ENSG00000095209	TMEM38B	TMEM38B	0.0	0.0	0.3761420069037871	32.0	0.0
55254	ENSG00000176142	TMEM39A	TMEM39A	0.0	0.0	0.35722351022162085	32.0	0.0
440026	ENSG00000166471	TMEM41B	TMEM41B	0.0	0.0	0.3745849810902288	59.0	0.0
131616	ENSG00000169964	TMEM42	TMEM42	1.0	11.0	0.5789109377697637	60.0	0.2768704484985826
93109	ENSG00000145014	TMEM44	TMEM44	0.0	0.0	0.36309469171651626	31.0	0.0
83604	ENSG00000147027	TMEM47	TMEM47	1.0	4.0	0.5618416761374438	3.0	0.09771159584999023
23585	ENSG00000183726	TMEM50A	TMEM50A	1.0	2.0	0.4680691179677967	49.0	0.040701662431982324
79639	ENSG00000126106	TMEM53	TMEM53	1.0	9.0	0.5998517524729545	60.0	0.2347245987937648
113452	ENSG00000121900	TMEM54	TMEM54	1.0	3.0	0.6507368596393888	18.0	0.08487872082252897
9528	ENSG00000116209	TMEM59	TMEM59	1.0	4.0	0.3820756590711202	40.0	0.0664479407080209
25789	ENSG00000105696	TMEM59L	TMEM59L	1.0	7.0	0.6537515588138473	33.0	0.19896786572595354
157378	ENSG00000164983	TMEM65	TMEM65	1.0	6.0	0.5837005598447061	40.0	0.15226971126383637
54968	ENSG00000175606	TMEM70	TMEM70	1.0	4.0	0.4989848558496856	40.0	0.0867799749303801
157753	ENSG00000164841	TMEM74	TMEM74	1.0	7.0	0.6980383449513705	31.0	0.21244645281128668
55321	ENSG00000125895	TMEM74B	TMEM74B	1.0	4.0	0.6634226940834304	33.0	0.11537785984059658
388730	ENSG00000174529	TMEM81	TMEM81	0.0	0.0	0.4476822191941607	32.0	0.0
255043	ENSG00000180089	TMEM86B	TMEM86B	0.0	0.0	0.5402884794451136	32.0	0.0
25963	ENSG00000103978	TMEM87A	TMEM87A	0.0	0.0	0.32391732696158076	32.0	0.0
84910	ENSG00000153214	TMEM87B	TMEM87B	1.0	2.0	0.5058862377951883	58.0	0.043990107634364194
92162	ENSG00000167874	TMEM88	TMEM88	0.0	0.0	0.28266668623018226	32.0	0.0
51754	ENSG00000137103	TMEM8B	TMEM8B	1.0	7.0	0.8558616653637398	49.0	0.2604796372846165
252839	ENSG00000116857	TMEM9	TMEM9	1.0	11.0	0.623588801641888	52.0	0.29823812252438126
641649	ENSG00000142046	TMEM91	TMEM91	1.0	9.0	0.6792799172256149	52.0	0.26580518500132755
27346	ENSG00000109084	TMEM97	TMEM97	1.0	2.0	0.6393949016025942	31.0	0.055599556661095145
259236	ENSG00000181585	TMIE	TMIE	1.0	6.0	0.64137051229504	49.0	0.1673140466856626
55217	ENSG00000185973	TMLHE	TMLHE	0.0	0.0	0.3635583067017659	32.0	0.0
7111	ENSG00000136842	TMOD1	TMOD1	1.0	2.0	0.717737386234718	7.0	0.06241194662910591
29766	ENSG00000138594	TMOD3	TMOD3	1.0	8.0	0.6287077020060596	55.0	0.21868093982819464
7112	ENSG00000120802	TMPO	TMPO	1.0	1.0	0.5521834032629526	32.0	0.02400797405491098
164656	ENSG00000187045	TMPRSS6	TMPRSS6	1.0	1.0	0.4475101662304634	33.0	0.019456963749150583
9168	ENSG00000034510	TMSB10	TMSB10	1.0	6.0	0.6652948069290292	18.0	0.17355516702496412
286527	ENSG00000158427	TMSB15B	TMSB15B	1.0	4.0	0.8439903699843226	40.0	0.146780933910317
7114	ENSG00000205542	TMSB4X	TMSB4X	1.0	6.0	0.547900587670151	40.0	0.1429305880878655
83857	ENSG00000133687	TMTC1	TMTC1	1.0	3.0	0.4202569163989651	33.0	0.054816119530299794
84899	ENSG00000125247	TMTC4	TMTC4	0.0	0.0	0.4450305054753637	18.0	0.0
79089	ENSG00000168591	TMUB2	TMUB2	1.0	3.0	0.5922593368277664	33.0	0.07725121784709997
81542	ENSG00000139921	TMX1	TMX1	0.0	0.0	0.2259152684524221	32.0	0.0
56255	ENSG00000125827	TMX4	TMX4	0.0	0.0	0.217696346844199	52.0	0.0
3371	ENSG00000041982	TNC	TNC	0.0	0.0	0.2254453358813226	9.0	0.0
7124	ENSG00000228849	TNF	TNF	0.0	0.0	0.28762713014186303	31.0	0.0
7126	ENSG00000109079	TNFAIP1	TNFAIP1	1.0	1.0	0.5424933985028766	33.0	0.023586669500125067
7127	ENSG00000185215	TNFAIP2	TNFAIP2	1.0	7.0	0.62074017141488	42.0	0.1889209217349635
126282	ENSG00000185361	TIPE1	TNFAIP8L1	1.0	6.0	0.6959910315472386	49.0	0.1815628777949318
79626	ENSG00000163154	TIPE2	TNFAIP8L2	1.0	7.0	0.5243964406063913	55.0	0.15959891670629303
388121	ENSG00000183578	TIPE3	TNFAIP8L3	1.0	8.0	0.701137484588656	41.0	0.24387390768301076
8795	ENSG00000120889	TNFRSF10B	TNFRSF10B	1.0	5.0	0.487257003804312	31.0	0.10592543560963305
8792	ENSG00000141655	TNFRSF11A	TNFRSF11A	1.0	8.0	0.7708197835072482	33.0	0.2681112290459994
51330	ENSG00000006327	TNFRSF12A	TNFRSF12A	1.0	1.0	0.29075948255194123	32.0	0.012641716632693097
115650	ENSG00000159958	TNFRSF13C	TNFRSF13C	1.0	8.0	0.5805458288590104	33.0	0.20192898395096012
8764	ENSG00000157873	TNFRSF14	TNFRSF14	1.0	5.0	0.46838962180779203	33.0	0.10182383082778088
27242	ENSG00000146072	TNFRSF21	TNFRSF21	0.0	0.0	0.27720145275970115	33.0	0.0
8718	ENSG00000215788	TNFRSF25	TNFRSF25	1.0	1.0	0.5473917420438303	31.0	0.023799640958427407
7293	ENSG00000186827	TNFRSF4	TNFRSF4	1.0	1.0	0.6109095988927663	31.0	0.026561286908381145
8742	ENSG00000239697	TNFSF12	TNFSF12	1.0	4.0	0.7186589239969051	33.0	0.12498416069511394
10673	ENSG00000102524	TNFSF13B	TNFSF13B	1.0	4.0	0.6788284048263603	33.0	0.11805711388284527
23043	ENSG00000154310	TNIK	TNIK	1.0	8.0	0.5977256196646102	53.0	0.20790456336160357
10318	ENSG00000145901	TNIP1	TNIP1	0.0	0.0	0.23993174799512093	31.0	0.0
8658	ENSG00000285372	TNKS	TNKS	0.0	0.0	0.34955276141009056	32.0	0.0
7125	ENSG00000101470	TNNC2	TNNC2	0.0	0.0	0.5154759960446715	19.0	0.0
7137	ENSG00000129991	TNNI3	TNNI3	1.0	6.0	0.5867149897838574	49.0	0.15305608429144105
7138	ENSG00000105048	TNNT1	TNNT1	1.0	10.0	0.7082447141539187	52.0	0.30793248441474724
7139	ENSG00000118194	TNNT2	TNNT2	0.0	0.0	0.4059898067050945	39.0	0.0
7140	ENSG00000130595	TNNT3	TNNT3	1.0	2.0	0.4517168559348928	16.0	0.03927972660303416
7145	ENSG00000079308	TNS1	TNS1	0.0	0.0	0.3253227443548655	32.0	0.0
10140	ENSG00000141232	TOB1	TOB1	0.0	0.0	0.32404365880169145	32.0	0.0
54472	ENSG00000291426	TOLLIP	TOLLIP	1.0	3.0	0.6515172125023211	49.0	0.08498050597856362
10040	ENSG00000141198	TOM1L1	TOM1L1	1.0	6.0	0.6493467845655966	18.0	0.16939481336493822
