,cPC1
ALDH1B1,-0.46844526393508445
ALDH1L2,4.27405541815664
ALDH2,-2.101691916062929
ALDH3A2,-8.951687439751243
ALDH3B1,-6.290115549646287
ALDH5A1,-6.809936558610276
ALDH6A1,-3.2317449027827077
ALDH7A1,-5.928914080126243
ALDH9A1,-6.519863623545235
ALDOA,7.225854212703291
ALG10B,-3.0747864860461425
ALG13,7.022185915392402
ALG5,-4.68119094815704
ALG8,-7.817117557240651
ALK,-4.32594140269776
ALKAL2,-8.072856566970119
ALMS1P1,-6.655640456636957
ALOX5,-4.379089638561239
ALOX5AP,-5.671887434645859
ALPK1,-7.437315543119919
ALPL,1.0555401636565096
ALS2,4.0418973925281065
ALS2CR12,-4.782381552732725
AMER2,-6.521720450877176
AMER3,4.97253667808665
AMFR,-7.396202758303958
AMIGO2,-7.667081615730949
AMMECR1,2.806072717224738
AMMECR1L,3.679286857337571
AMN1,6.748658762322774
AMPD2,2.9702311374133403
AMPH,4.058300030329782
AMZ1,-6.295866270425349
AMZ2,5.24867741683637
AMZ2P1,2.432154643206859
ANAPC11,5.666805659306232
ANAPC15,4.333853606631284
ANAPC4,5.318951845993087
ANGEL2,-0.3212894364160388
ANK3,-7.612913960387744
ANKIB1,-8.860341320653419
ANKLE2,3.729150069271698
ANKRA2,-6.472058386670708
ANKRD11,3.7697175606213844
ANKRD13D,5.11448503053437
ANKRD18B,1.7657849975633897
ANKRD19P,-2.32621356466404
ANKRD2,5.945217712528128
ANKRD20A11P,-3.472598379258443
ANKRD20A5P,-1.4687335714402725
ANKRD24,12.312817163568907
ANKRD26,3.008634148461082
ANKRD28,0.9780189285152563
ANKRD30BP2,-1.3780958473594977
ANKRD34A,6.6246972919063
ANKRD36BP2,-3.951110401011675
ANKRD39,6.061829913801298
ANKRD45,-5.651014372705226
ANKRD46,7.708100147021996
ANKRD49,-1.821418245029299
ANKRD50,-3.66220293083055
ANKRD6,0.6728760625669254
ANKRD9,2.0997071186628187
ANKS3,2.6325919648620726
ANKS6,3.6002638829194864
ANKZF1,3.677964886197818
ANO2,-7.3450557626587045
ANO3,-3.420448411472863
ANO6,-8.272992416088453
ANOS1,-5.264142376120606
ANP32E,-7.903840446395308
ANXA1,3.276204561367226
ANXA11,2.470018445200171
ANXA2,-4.792967714345479
ANXA4,0.2664535106880232
ANXA7,-0.1577659171295915
AOAH,-5.547166596928837
AP1G2,-1.0307079426228254
AP1M1,3.426255139135389
AP1S1,5.165706010208707
AP2B1,-6.212480398921842
AP2M1,6.356492317145548
AP2S1,6.219055705267694
AP3B1,-7.267737769622992
AP3B2,5.5043499119234305
AP3D1,5.015955913617355
AP3M1,-6.310345881301477
AP3M2,5.904363519986944
AP3S1,-1.1842844653117508
AP4M1,6.018691655328748
AP4S1,8.778590849010326
AP5B1,3.1674412087988792
AP5S1,-5.504331571819869
APBA1,-5.427173758111145
APBA2,7.584715248196325
APBB1,9.482362167778948
APBB1IP,-6.918500630294462
APBB3,5.908305797796742
APC,-0.5364773645769242
APEH,5.733846632502301
APH1B,-9.161979053331388
APLN,-5.816801665096839
APLNR,-2.1416866635800513
APMAP,-1.1215673558815156
APOC1,-7.381803135090506
APOE,-6.208750017725407
APOM,-6.633955303007739
APOO,4.117867763924454
APOOL,-6.467795354015311
APOPT1,-2.238498874522029
APP,-2.2527869466506725
APPL1,4.196830706596082
APPL2,-8.69644012631555
APRT,-6.694567575016199
AQP1,-5.202540555898799
AQP11,2.728893458482304
AQP4,-7.075061094260203
AQP5,-7.7928729749266346
AQP6,-7.077826087044676
AQR,-6.708063705120386
ARAP2,0.8113599428283915
ARF3,3.9994727443024343
ARF5,7.201527494605693
ARFGAP1,4.666746639712208
ARFGEF3,1.6211008457399105
ARGLU1,-6.538244204356015
ARHGAP10,1.1758152035123242
ARHGAP12,-7.006151841326524
ARHGAP18,-9.422591485162975
ARHGAP19,-7.803866977506775
ARHGAP20,4.040878685317337
ARHGAP22,-2.5790135721627494
