"voxel","diagnosis_beta"
678,0.0722916870387206
679,-0.805901512802608
680,-0.275009126171499
681,0.210564009730628
682,0.605936781579203
683,0.914301758378066
684,1.14533439948984
685,1.29592964313095
686,1.3588263291805
687,1.33662618253145
688,1.24305297935889
689,1.09296425334855
690,0.901439008030089
691,0.692588433082004
692,0.494859621821584
693,0.321126400947018
694,0.159786752754013
695,-0.0136388113105328
696,-0.326445679645811
697,0.125677516566042
698,0.485279349309111
699,0.758994770075814
700,0.974723875976922
701,1.14629288826055
702,1.25816742825681
703,1.27789071128607
704,1.18385565142502
705,0.98425790304323
706,0.719502405243949
707,0.445138253125574
708,0.201547740862115
709,-0.00295251874457132
710,-0.180070169904343
711,-0.34362474130749
712,-0.385319089032682
713,0.03464840231152
714,0.355675325158205
715,0.586174105166117
716,0.763372172021518
717,0.909548832285816
718,1.00933476486972
719,1.02339751417158
720,0.92165215945083
721,0.708752299063643
722,0.430804940416976
723,0.151397080137567
724,-0.089948389799861
725,-0.291682897215928
726,-0.112104568056049
727,0.180195853801455
728,0.373605151406813
729,0.502505918262143
730,0.59392933120209
731,0.647119432517812
732,0.640914739514933
733,0.551132057133508
734,0.370807398073625
735,0.1291066187194
736,-0.119947543020558
737,-0.338752808816896
738,-0.122548049298538
739,-0.336963954883924
740,-0.19025855336034
741,-0.33087043736563
742,-0.718195824798683
743,-0.446581872374326
744,-0.185115917408462
745,0.0374329200318997
746,0.18095780504668
747,0.220198140913793
748,0.168642748795992
749,0.0716412339082094
750,-0.029997261426152
